,First entry (Title + ISBN),Second entry (Title + ISBN),similairity_score
209,ilustracja boskiej komedii dantego : piekło : pieśń xi : wersy 1-66 ; -,ilustracja boskiej komedii dantego : piekło : pieśń xxxiii : wersy 1-81 ; -,0.9308252594108334
208,ilustracja boskiej komedii dantego : piekło : pieśń xi : wersy 1-66 ; -,ilustracja boskiej komedii dantego : piekło : pieśń xxiv : wersy 79-151 ; -,0.9308252594108334
1296,inicjał legend warszawy ewy szelburg-zarembiny : inicjał g legendy cud św. anny ; -,inicjał legend warszawy ewy szelburg-zarembiny : inicjał z legendy kochanica diabła ; -,0.9218803136115248
1295,inicjał legend warszawy ewy szelburg-zarembiny : inicjał g legendy cud św. anny ; -,inicjał legend warszawy ewy szelburg-zarembiny : inicjał b legendy złota kaczka ; -,0.9218803136115248
1294,inicjał legend warszawy ewy szelburg-zarembiny : inicjał g legendy cud św. anny ; -,inicjał legend warszawy ewy szelburg-zarembiny : inicjał ż legendy burmistrz śmierć ; -,0.9218803136115248
1293,inicjał legend warszawy ewy szelburg-zarembiny : inicjał g legendy cud św. anny ; -,inicjał legend warszawy ewy szelburg-zarembiny : inicjał o legendy pan jezus fary ; -,0.9218803136115248
1292,inicjał legend warszawy ewy szelburg-zarembiny : inicjał g legendy cud św. anny ; -,inicjał legend warszawy ewy szelburg-zarembiny : inicjał o legendy przestroga ; -,0.9218803136115248
1270,inicjał legend warszawy ewy szelburg-zarembiny : inicjał ż legendy burmistrz śmierć ; -,inicjał legend warszawy ewy szelburg-zarembiny : inicjał g legendy cud św. anny ; -,0.9218803136115248
1234,inicjał legend warszawy ewy szelburg-zarembiny : inicjał o legendy wróżba panny wodnej ; -,inicjał legend warszawy ewy szelburg-zarembiny : inicjał g legendy cud św. anny ; -,0.9218803136115248
1243,inicjał legend warszawy ewy szelburg-zarembiny : inicjał z legendy kocur kamienicy książąt mazowieckich ; -,inicjał legend warszawy ewy szelburg-zarembiny : inicjał g legendy cud św. anny ; -,0.9218803136115248
1252,inicjał legend warszawy ewy szelburg-zarembiny : inicjał z legendy kochanica diabła ; -,inicjał legend warszawy ewy szelburg-zarembiny : inicjał g legendy cud św. anny ; -,0.9218803136115248
1261,inicjał legend warszawy ewy szelburg-zarembiny : inicjał b legendy złota kaczka ; -,inicjał legend warszawy ewy szelburg-zarembiny : inicjał g legendy cud św. anny ; -,0.9218803136115248
1298,inicjał legend warszawy ewy szelburg-zarembiny : inicjał g legendy cud św. anny ; -,inicjał legend warszawy ewy szelburg-zarembiny : inicjał o legendy wróżba panny wodnej ; -,0.9218803136115248
1279,inicjał legend warszawy ewy szelburg-zarembiny : inicjał o legendy pan jezus fary ; -,inicjał legend warszawy ewy szelburg-zarembiny : inicjał g legendy cud św. anny ; -,0.9218803136115248
1297,inicjał legend warszawy ewy szelburg-zarembiny : inicjał g legendy cud św. anny ; -,inicjał legend warszawy ewy szelburg-zarembiny : inicjał z legendy kocur kamienicy książąt mazowieckich ; -,0.9218803136115248
1308,inicjał legend warszawy ewy szelburg-zarembiny : inicjał o legendy przestroga ; -,inicjał legend warszawy ewy szelburg-zarembiny : inicjał g legendy cud św. anny ; -,0.9218803136115248
845,"ilustracja boskiej komedii dantego : raj : pieśń vi : wersy 10, 127-142 pieśń v: wersy 130-139 ; -","ilustracja boskiej komedii dantego : raj : pieśń xxviii : wersy 13-39, 94-96 ; -",0.9139995355786446
846,"ilustracja boskiej komedii dantego : raj : pieśń vi : wersy 10, 127-142 pieśń v: wersy 130-139 ; -",ilustracja boskiej komedii dantego : raj : pieśń xxxi : wersy 59-142 ; -,0.9139995355786446
847,"ilustracja boskiej komedii dantego : raj : pieśń vi : wersy 10, 127-142 pieśń v: wersy 130-139 ; -","ilustracja boskiej komedii dantego : raj : pieśń xxvii : wersy 1-11, 19-27, 40-66 ; -",0.9139995355786446
848,"ilustracja boskiej komedii dantego : raj : pieśń vi : wersy 10, 127-142 pieśń v: wersy 130-139 ; -",ilustracja boskiej komedii dantego : raj : pieśń xxiv : wersy 19-45 ; -,0.9139995355786446
849,"ilustracja boskiej komedii dantego : raj : pieśń vi : wersy 10, 127-142 pieśń v: wersy 130-139 ; -","ilustracja boskiej komedii dantego : raj : pieśń xxix : wersy 49-57, 91-93, 130-145 ; -",0.9139995355786446
850,"ilustracja boskiej komedii dantego : raj : pieśń vi : wersy 10, 127-142 pieśń v: wersy 130-139 ; -","ilustracja boskiej komedii dantego : raj : pieśń xxv : wersy 13-27, 100-117 ; -",0.9139995355786446
853,"ilustracja boskiej komedii dantego : raj : pieśń vi : wersy 10, 127-142 pieśń v: wersy 130-139 ; -","ilustracja boskiej komedii dantego : raj : pieśń xxx : wersy 61-81, 88-120 ; -",0.9139995355786446
852,"ilustracja boskiej komedii dantego : raj : pieśń vi : wersy 10, 127-142 pieśń v: wersy 130-139 ; -","ilustracja boskiej komedii dantego : raj : pieśń xxxii : wersy 4-36, 85-99, 118-138 ; -",0.9139995355786446
851,"ilustracja boskiej komedii dantego : raj : pieśń vi : wersy 10, 127-142 pieśń v: wersy 130-139 ; -",ilustracja boskiej komedii dantego : raj : pieśń xxxiii : wersy 115-145 ; -,0.9139995355786446
2452,budowa okrętów polskich pucku ; -,związek polskich artystów fotografików : 1947-1987 ; -,0.9113873472186586
2334,stereoskop oglądania fotografii stereoskopowych niemieckiej firmy amato d.r.g.m. ; -,150 fotografii : 1839-1989 ; -,0.9113873472186586
2446,budowa okrętów polskich ; -,związek polskich artystów fotografików : 1947-1987 ; -,0.9113873472186586
2447,budowa okrętów polskich ; -,związek polskich artystów fotografików : 1947-1987 ; -,0.9113873472186586
2448,budowa okrętów polskich ; -,dzieiow polskich : zabawa historyczna sposobie loteryi ułożona ; -,0.9113873472186586
2451,budowa okrętów polskich pucku ; -,związek polskich artystów fotografików : 1947-1987 ; -,0.9113873472186586
1551,dzieiow polskich : zabawa historyczna sposobie loteryi ułożona ; -,budowa okrętów polskich pucku ; -,0.9113873472186586
2453,budowa okrętów polskich pucku ; -,dzieiow polskich : zabawa historyczna sposobie loteryi ułożona ; -,0.9113873472186586
1811,związek polskich artystów fotografików : 1947-1987 ; -,budowa okrętów polskich ; -,0.9113873472186586
1810,związek polskich artystów fotografików : 1947-1987 ; -,budowa okrętów polskich pucku ; -,0.9113873472186586
1783,ludwik waryński 1856-1889 : założyciel pierwszej polskiej partii rewolucyjnej proletariat ; -,dyplom komandora honorowego oficerskiego yacht clubu rzeczypospolitej polskiej ; -,0.9113873472186586
1775,ludwik waryński 1856-1889 : założyciel pierwszej polskiej partii rewolucyjnej proletariat ; -,dyplom komandora honorowego oficerskiego yacht clubu rzeczypospolitej polskiej ; -,0.9113873472186586
1772,150 fotografii : 1839-1989 ; -,plakieta pamiątkowa międzynarodowej wystawy fotografii »vom glück des menschen« berlinie 1967 ; -,0.9113873472186586
1771,150 fotografii : 1839-1989 ; -,stereoskop oglądania fotografii stereoskopowych niemieckiej firmy amato d.r.g.m. ; -,0.9113873472186586
1761,związek polskich artystów fotografików : 1947-1987 ; -,budowa okrętów polskich ; -,0.9113873472186586
1760,związek polskich artystów fotografików : 1947-1987 ; -,budowa okrętów polskich pucku ; -,0.9113873472186586
1552,dzieiow polskich : zabawa historyczna sposobie loteryi ułożona ; -,budowa okrętów polskich ; -,0.9113873472186586
1818,plakieta pamiątkowa międzynarodowej wystawy fotografii »vom glück des menschen« berlinie 1967 ; -,150 fotografii : 1839-1989 ; -,0.9113873472186586
2237,"zestaw barwnych filtrów rolleifilter franke & heidecke, należący janiny mierzeckiej ; -","zestaw filtrów barwnych firmy guilleminot, należący janiny mierzeckiej ; -",0.908101288604543
2214,"zestaw uchwtów barwnych filtrów fotograficznych, należący janiny mierzeckiej ; -","zestaw filtrów barwnych firmy guilleminot, należący janiny mierzeckiej ; -",0.908101288604543
2036,"zestaw barwnych filtrów fotograficznych agfa, należący janiny mierzeckiej ; -","zestaw filtrów barwnych firmy guilleminot, należący janiny mierzeckiej ; -",0.908101288604543
2244,"zestaw różnych soczewek barwnych filtrów firmy carl zeiss jena, należący janiny mierzeckiej ; -","zestaw filtrów barwnych firmy guilleminot, należący janiny mierzeckiej ; -",0.908101288604543
2246,"zestaw filtrów barwnych firmy guilleminot, należący janiny mierzeckiej ; -","zestaw różnych soczewek barwnych filtrów firmy carl zeiss jena, należący janiny mierzeckiej ; -",0.908101288604543
2247,"zestaw filtrów barwnych firmy guilleminot, należący janiny mierzeckiej ; -","zestaw barwnych filtrów rolleifilter franke & heidecke, należący janiny mierzeckiej ; -",0.908101288604543
2248,"zestaw filtrów barwnych firmy guilleminot, należący janiny mierzeckiej ; -","zestaw uchwtów barwnych filtrów fotograficznych, należący janiny mierzeckiej ; -",0.908101288604543
2249,"zestaw filtrów barwnych firmy guilleminot, należący janiny mierzeckiej ; -","zestaw barwnych filtrów firmy foto-optik arnz, należący janiny mierzeckiej ; -",0.908101288604543
2250,"zestaw filtrów barwnych firmy guilleminot, należący janiny mierzeckiej ; -","zestaw barwnych filtrów fotograficznych hugo arnz, należący janiny mierzeckiej ; -",0.908101288604543
2251,"zestaw filtrów barwnych firmy guilleminot, należący janiny mierzeckiej ; -","zestaw barwnych filtrów fotograficznych agfa, należący janiny mierzeckiej ; -",0.908101288604543
2207,"zestaw barwnych filtrów firmy foto-optik arnz, należący janiny mierzeckiej ; -","zestaw filtrów barwnych firmy guilleminot, należący janiny mierzeckiej ; -",0.908101288604543
2043,"zestaw barwnych filtrów fotograficznych hugo arnz, należący janiny mierzeckiej ; -","zestaw filtrów barwnych firmy guilleminot, należący janiny mierzeckiej ; -",0.908101288604543
2574,"lot obłokach, ilustracja księgi pamiątkowej czci poległych lotników ; -","inicjał j, ilustracja księgi pamiątkowej czci poległych lotników ; -",0.905728324043205
2575,"lot obłokach, ilustracja księgi pamiątkowej czci poległych lotników ; -","inicjał h, ilustracja księgi pamiątkowej czci poległych lotników ; -",0.905728324043205
2576,"lot obłokach, ilustracja księgi pamiątkowej czci poległych lotników ; -","inicjał ś, ilustracja księgi pamiątkowej czci poległych lotników ; -",0.905728324043205
