,First entry (Title + ISBN),Second entry (Title + ISBN),similairity_score
550,"ilustracja boskiej komedii dantego : czyściec : pieśń x : wersy 1-75, 100-139 ; -","ilustracja boskiej komedii dantego : czyściec : pieśń xxvii : wersy 1-48, 88-90 ; -",0.9392827988410506
890,ilustracja boskiej komedii dantego : raj : pieśń x : wersy 64-138 ; -,"ilustracja boskiej komedii dantego : raj : pieśń xxv : wersy 13-27, 100-117 ; -",0.9392827988410506
891,ilustracja boskiej komedii dantego : raj : pieśń x : wersy 64-138 ; -,ilustracja boskiej komedii dantego : raj : pieśń xxxiii : wersy 115-145 ; -,0.9392827988410506
893,ilustracja boskiej komedii dantego : raj : pieśń x : wersy 64-138 ; -,"ilustracja boskiej komedii dantego : raj : pieśń xxx : wersy 61-81, 88-120 ; -",0.9392827988410506
192,ilustracja boskiej komedii dantego : piekło : pieśń x : wersy 1-59 ; -,"ilustracja boskiej komedii dantego : piekło : pieśń xxiii : wersy 58-69, 110-126 ; -",0.9389416672617626
199,ilustracja boskiej komedii dantego : piekło : pieśń x : wersy 1-59 ; -,ilustracja boskiej komedii dantego : piekło : pieśń xxxiii : wersy 1-81 ; -,0.9389416672617626
193,ilustracja boskiej komedii dantego : piekło : pieśń x : wersy 1-59 ; -,"ilustracja boskiej komedii dantego : piekło : pieśń xxxi : wersy 37-78, 82-96, 112-145 ; -",0.9389416672617626
191,ilustracja boskiej komedii dantego : piekło : pieśń x : wersy 1-59 ; -,ilustracja boskiej komedii dantego : piekło : pieśń xxviii : wersy 1-42 ; -,0.9389416672617626
198,ilustracja boskiej komedii dantego : piekło : pieśń x : wersy 1-59 ; -,ilustracja boskiej komedii dantego : piekło : pieśń xxiv : wersy 79-151 ; -,0.9389416672617626
197,ilustracja boskiej komedii dantego : piekło : pieśń x : wersy 1-59 ; -,ilustracja boskiej komedii dantego : piekło : pieśń xxii : wersy 13-58 ; -,0.9389416672617626
194,ilustracja boskiej komedii dantego : piekło : pieśń x : wersy 1-59 ; -,ilustracja boskiej komedii dantego : piekło : pieśń xxiv : wersy 79-151 ; -,0.9389416672617626
195,ilustracja boskiej komedii dantego : piekło : pieśń x : wersy 1-59 ; -,ilustracja boskiej komedii dantego : piekło : pieśń xxix : wersy 37-84 ; -,0.9389416672617626
196,ilustracja boskiej komedii dantego : piekło : pieśń x : wersy 1-59 ; -,"ilustracja boskiej komedii dantego : piekło : pieśń xxv : wersy 17-34, 49-84 ; -",0.9389416672617626
2571,"lot obłokach, ilustracja księgi pamiątkowej czci poległych lotników ; -","samolot rwd-6, ilustracja księgi pamiątkowej czci poległych lotników ; -",0.9383682375297876
2570,"lot obłokach, ilustracja księgi pamiątkowej czci poległych lotników ; -","spalone domy, ilustracja księgi pamiątkowej czci poległych lotników ; -",0.9383682375297876
2568,"lot obłokach, ilustracja księgi pamiątkowej czci poległych lotników ; -","montgolfier, ilustracja księgi pamiątkowej czci poległych lotników ; -",0.9383682375297876
2569,"lot obłokach, ilustracja księgi pamiątkowej czci poległych lotników ; -","mogiła lotnika, ilustracja księgi pamiątkowej czci poległych lotników ; -",0.9383682375297876
2572,"lot obłokach, ilustracja księgi pamiątkowej czci poległych lotników ; -","montgolfier, ilustracja księgi pamiątkowej czci poległych lotników ; -",0.9383682375297876
2573,"lot obłokach, ilustracja księgi pamiątkowej czci poległych lotników ; -","samolot zatoką, ilustracja księgi pamiątkowej czci poległych lotników ; -",0.9383682375297876
1207,ilustracja legend warszawy ewy szelburg-zarembiny : cud świętej anny ; -,ilustracja legend warszawy ewy szelburg-zarembiny : złota kaczka ; -,0.937595109131593
1208,ilustracja legend warszawy ewy szelburg-zarembiny : cud świętej anny ; -,ilustracja legend warszawy ewy szelburg-zarembiny : kochanica diabła ; -,0.937595109131593
1181,ilustracja legend warszawy ewy szelburg-zarembiny : pan jezus fary ; -,ilustracja legend warszawy ewy szelburg-zarembiny : cud świętej anny ; -,0.937595109131593
1191,ilustracja legend warszawy ewy szelburg-zarembiny : widmo ; -,ilustracja legend warszawy ewy szelburg-zarembiny : cud świętej anny ; -,0.937595109131593
1161,ilustracja legend warszawy ewy szelburg-zarembiny : złota kaczka ; -,ilustracja legend warszawy ewy szelburg-zarembiny : cud świętej anny ; -,0.937595109131593
1141,ilustracja legend warszawy ewy szelburg-zarembiny : kocur kamienicy książąt mazowieckich ; -,ilustracja legend warszawy ewy szelburg-zarembiny : cud świętej anny ; -,0.937595109131593
1205,ilustracja legend warszawy ewy szelburg-zarembiny : cud świętej anny ; -,ilustracja legend warszawy ewy szelburg-zarembiny : widmo ; -,0.937595109131593
1151,ilustracja legend warszawy ewy szelburg-zarembiny : kochanica diabła ; -,ilustracja legend warszawy ewy szelburg-zarembiny : cud świętej anny ; -,0.937595109131593
1209,ilustracja legend warszawy ewy szelburg-zarembiny : cud świętej anny ; -,ilustracja legend warszawy ewy szelburg-zarembiny : kocur kamienicy książąt mazowieckich ; -,0.937595109131593
1206,ilustracja legend warszawy ewy szelburg-zarembiny : cud świętej anny ; -,ilustracja legend warszawy ewy szelburg-zarembiny : pan jezus fary ; -,0.937595109131593
922,ilustracja boskiej komedii dantego : raj : pieśń xiii : wersy 1-30 ; -,"ilustracja boskiej komedii dantego : raj : pieśń xxxii : wersy 4-36, 85-99, 118-138 ; -",0.9343179752149464
867,ilustracja boskiej komedii dantego : raj : pieśń viii : wersy 1-84 ; -,"ilustracja boskiej komedii dantego : raj : pieśń xxvii : wersy 1-11, 19-27, 40-66 ; -",0.9343179752149464
921,ilustracja boskiej komedii dantego : raj : pieśń xiii : wersy 1-30 ; -,ilustracja boskiej komedii dantego : raj : pieśń xxxiii : wersy 115-145 ; -,0.9343179752149464
923,ilustracja boskiej komedii dantego : raj : pieśń xiii : wersy 1-30 ; -,"ilustracja boskiej komedii dantego : raj : pieśń xxx : wersy 61-81, 88-120 ; -",0.9343179752149464
920,ilustracja boskiej komedii dantego : raj : pieśń xiii : wersy 1-30 ; -,"ilustracja boskiej komedii dantego : raj : pieśń xxv : wersy 13-27, 100-117 ; -",0.9343179752149464
919,ilustracja boskiej komedii dantego : raj : pieśń xiii : wersy 1-30 ; -,"ilustracja boskiej komedii dantego : raj : pieśń xxix : wersy 49-57, 91-93, 130-145 ; -",0.9343179752149464
868,ilustracja boskiej komedii dantego : raj : pieśń viii : wersy 1-84 ; -,ilustracja boskiej komedii dantego : raj : pieśń xxiv : wersy 19-45 ; -,0.9343179752149464
869,ilustracja boskiej komedii dantego : raj : pieśń viii : wersy 1-84 ; -,"ilustracja boskiej komedii dantego : raj : pieśń xxix : wersy 49-57, 91-93, 130-145 ; -",0.9343179752149464
870,ilustracja boskiej komedii dantego : raj : pieśń viii : wersy 1-84 ; -,"ilustracja boskiej komedii dantego : raj : pieśń xxv : wersy 13-27, 100-117 ; -",0.9343179752149464
871,ilustracja boskiej komedii dantego : raj : pieśń viii : wersy 1-84 ; -,ilustracja boskiej komedii dantego : raj : pieśń xxxiii : wersy 115-145 ; -,0.9343179752149464
872,ilustracja boskiej komedii dantego : raj : pieśń viii : wersy 1-84 ; -,"ilustracja boskiej komedii dantego : raj : pieśń xxxii : wersy 4-36, 85-99, 118-138 ; -",0.9343179752149464
873,ilustracja boskiej komedii dantego : raj : pieśń viii : wersy 1-84 ; -,"ilustracja boskiej komedii dantego : raj : pieśń xxx : wersy 61-81, 88-120 ; -",0.9343179752149464
918,ilustracja boskiej komedii dantego : raj : pieśń xiii : wersy 1-30 ; -,ilustracja boskiej komedii dantego : raj : pieśń xxiv : wersy 19-45 ; -,0.9343179752149464
917,ilustracja boskiej komedii dantego : raj : pieśń xiii : wersy 1-30 ; -,"ilustracja boskiej komedii dantego : raj : pieśń xxvii : wersy 1-11, 19-27, 40-66 ; -",0.9343179752149464
916,ilustracja boskiej komedii dantego : raj : pieśń xiii : wersy 1-30 ; -,ilustracja boskiej komedii dantego : raj : pieśń xxxi : wersy 59-142 ; -,0.9343179752149464
915,ilustracja boskiej komedii dantego : raj : pieśń xiii : wersy 1-30 ; -,"ilustracja boskiej komedii dantego : raj : pieśń xxviii : wersy 13-39, 94-96 ; -",0.9343179752149464
865,ilustracja boskiej komedii dantego : raj : pieśń viii : wersy 1-84 ; -,"ilustracja boskiej komedii dantego : raj : pieśń xxviii : wersy 13-39, 94-96 ; -",0.9343179752149464
866,ilustracja boskiej komedii dantego : raj : pieśń viii : wersy 1-84 ; -,ilustracja boskiej komedii dantego : raj : pieśń xxxi : wersy 59-142 ; -,0.9343179752149464
584,ilustracja boskiej komedii dantego : czyściec : pieśń xiii : wersy 1-84 ; -,ilustracja boskiej komedii dantego : czyściec : pieśń xxxiii : wersy 103-114 ; -,0.9343179752149464
586,ilustracja boskiej komedii dantego : czyściec : pieśń xiii : wersy 1-84 ; -,ilustracja boskiej komedii dantego : czyściec : pieśń xxx : wersy 13-72 ; -,0.9343179752149464
535,"ilustracja boskiej komedii dantego : czyściec : pieśń viii : wersy 1-45, 94-108 ; -",ilustracja boskiej komedii dantego : czyściec : pieśń xxxii : wersy 85-108 ; -,0.9343179752149464
578,ilustracja boskiej komedii dantego : czyściec : pieśń xiii : wersy 1-84 ; -,ilustracja boskiej komedii dantego : czyściec : pieśń xxviii : wersy 1-63 ; -,0.9343179752149464
579,ilustracja boskiej komedii dantego : czyściec : pieśń xiii : wersy 1-84 ; -,ilustracja boskiej komedii dantego : czyściec : pieśń xxxi : wersy 92-102 ; -,0.9343179752149464
580,ilustracja boskiej komedii dantego : czyściec : pieśń xiii : wersy 1-84 ; -,"ilustracja boskiej komedii dantego : czyściec : pieśń xxvii : wersy 1-48, 88-90 ; -",0.9343179752149464
581,ilustracja boskiej komedii dantego : czyściec : pieśń xiii : wersy 1-84 ; -,ilustracja boskiej komedii dantego : czyściec : pieśń xxiv : wersy 98-154 ; -,0.9343179752149464
