,isbn,title,author,publisher,pub_place,pub_year,extent,dimensions,subject,inclusion_date,source,library,notes
66,8390201100,50 liceum ogólnokształcącego ćmielowie,"Piotrowicz, Regina",Zespół Szkół im. M. Raciborskiego,Ćmielów,1994,"41, [3] s.",21 cm.,Szkolnictwo ogólnokształcące,,,,Bibliogr. s. [43].
67,8322706294,problemy pedagogiki specjalnej badaniach empirycznych,,Uniwersytet Marii Curie-Skłodowskiej,Lublin,1994,"270, [1] s.",24 cm.,Dziecko z niepełnosprawnością,,,,Bibliogr. przy rozdz.
68,8386622008,rekreacja turystyka rodzinie,,"PTNKF : ""Estrella""",Warszawa,1994,127 s.,24 cm.,Odpoczynek,,,,Bibliogr. s. 125.
69,,pomóc dziecku wadą wymowy ?,"Spałek, Ewa",Wojewódzki Ośrodek Metodyczny,Kraków,1994,"61 s., [23] s. tabl.",20 cm.,Mowa,,,,"Bibliogr. s. 61. Poradnik dla rodziców, nauczycieli i wychowawców."
70,,biorą trudne dzieci ? : teksty zebrane,"Bohdanowicz-Spanili, Wanda",nakł. autora : Klub Dobrego Człowieka,Warszawa,1993,"[2], 118 s.",26 cm.,Dziecko trudne,,,,
71,8386338067,szkoły podstawowe pragi północ : 1906-1994,,"""Heliodor""",Warszawa,1994,"94, [2] s.",20 cm.,Szkolnictwo podstawowe,,,,Oprac. z okazji II praskich warsztatów twórczych.
72,8323105448,tożsamość uniwersytetu : antologia tekstów profesorów uniwersytetu mikołaja kopernika,,[Uniwersytet Mikołaja Kopernika],Toruń,1994,"153, [2] s.",21 cm.,Szkolnictwo wyższe,,,,Nota bibliogr. s. 153-[154].
73,837096091X,księga pamiątkowa 25 dwudziestopięcio-lecia wyższej szkoły pedagogicznej bydgoszczy : praca zbiorowa,Uniwersytet Kazimierza Wielkiego (Bydgoszcz),Wydaw. Uczelniane WSP,Bydgoszcz,1994,150 s.,21 cm.,Pedagogika,,,,
74,,zagadnień opieki dzieckiem : materiały doświadczeń ośrodka wczesnej pomocy psychologicznej krakowie : praca zbiorowa,,Wydaw. WOM,Kraków,1994,37 s.,21 cm.,Dziecko z niepełnosprawnością,,,,
75,,polskie parki narodowe,,WOM,Katowice,1994,31 s.,21 cm.,Biologia,,,,Bibliogr. s. 31. Materiały pomocnicze dla nauczycieli.
76,8385490116,"problemy ochrony środowiska górnym śląsku wschodnich landach niemiec - możliwości restrukturyzacji : v polsko-niemieckie forum ekologiczne : sympozium i. e. sympozjum, katowice 24-27 marca 1992",,"""DiG""",Warszawa,1993,"192, [4] s.",21 cm.,Ochrona środowiska,,,,U góry s. tyt. i okł. : Stiftung für liberale Politik. Bibliogr. przy pracach.
77,8301114606,świat matematyki,"Davis, Philip J. (1923- )",Wydaw. Naukowe PWN,Warszawa,1994,"379, [1] s.",25 cm.,Metamatematyka,,,,Bibliogr. s. 362-373. - Indeks.
78,8390248239,kółko matematyczne olimpijczyków,"Pawłowski, Henryk (1960-2016)","""Turpress""",Toruń,1994,"306, [4] s.",21 cm.,Matematyka,,,,Bibliogr. s. [309-310].
79,8385751084,fizyka kl. 6 : podręcznik ucznia,"Szyszka, Eteri",Oficyna Edukacyjna Krzysztof Pazdro,Warszawa,1994,"116, [4] s.",24 cm.,Fizyka,,,,Indeks.
80,8385751106,chemia 8 : podręcznik ucznia,,Oficyna Edukacyjna Krzysztof Pazdro,Warszawa,1994,126 s.,24 cm.,Chemia,,,,"Indeks. Do użytku szkolnego, do nauczania chemii na poziomie kl. 8."
81,838645329X,obliczenia chemii fizycznej,"Przybyt, Małgorzata",Politechnika Łódzka,Łódź,1994,475 s.,24 cm.,Chemia fizyczna,,,,
